HRLM,TC,GSR,INCLY,INCLZ,INCLX
9,32.625,505,-0.2317590475,86.3140411376,-3.6774585247
9,32.375,506,-0.217774558,86.3617324829,-3.4009010791
9,32.5625,505,-0.0135956263,86.6447219848,-3.6976082324
9,32.5,505,-0.2037712574,86.3424148559,-3.5307369232
9,32.375,509,0.0949982547,86.5136260986,-3.6870875358
9,32.4375,505,-0.1910508918,86.3535995483,-3.6976313591
9,32.4375,505,0.0135848093,86.3479919433,-3.6958513259
9,32.5,505,-0.2308313131,86.3425750732,-3.4939146041
9,32.5625,505,-0.0681982994,86.5510635375,-3.7533812522
9,32.5,505,-0.2182231187,86.28591156,-3.5238656997
9,32.4375,511,0.0135970938,86.5217514038,-3.5552198886
9,32.5,505,-0.0544512224,86.4900131225,-3.5535125732
9,32.375,505,0.2040945291,86.4862670898,-3.2756259441
9,32.5,505,-0.2739628791,86.7585601806,-3.8694345474
9,32.5625,505,0.1089154605,86.1746826171,-3.4361879825
9,32.4375,505,-0.0136275041,86.6094284057,-3.3355264663
9,32.375,505,-0.1761684656,86.7054672241,-3.6027901172
9,32.375,505,-0.2318457603,86.4353866577,-3.2310931682
9,32.4375,511,-0.2306707859,86.806312561,-3.3377311229
9,32.4375,505,-0.3267784595,86.6919250488,-3.671734333
9,32.4375,506,-0.1227622509,86.3718566894,-3.2523472309
9,32.5,505,-0.1632104015,86.7891998291,-3.5144519805
9,32.375,505,-0.1225204706,86.5290603637,-3.6334924697
9,32.375,505,0.0819036388,86.4112319946,-3.5039076805
9,32.5,504,-0.1231076598,86.5395736694,-3.5620167255
9,32.3125,504,0.2309751272,86.4761352539,-3.3014216423
9,32.4375,510,-0.1779868602,86.7394180297,-3.4827792644
9,32.4375,505,-0.1228461027,86.5606994628,-3.4256076812
9,32.5,505,-0.0271711826,86.619934082,-3.4391674995
9,32.375,505,0.0543415927,86.6060485839,-3.6914887428
9,32.4375,505,-0.1366274476,86.3516235351,-3.460514307
9,32.5,505,-0.2712490797,86.5744934082,-3.5526912212
9,32.5,505,-0.0408093976,86.492729187,-3.348196268
9,32.375,505,-0.0680140972,86.6967544555,-3.4963681697
37,32.3125,511,-0.2866348075,86.5375213623,-3.5688064098
37,32.375,505,-0.0544504117,86.4764251708,-3.6665048599
37,32.375,505,-0.1089667797,86.3775253295,-3.3079986572
37,32.5,505,-0.0409854936,86.7373962402,-3.5926020145
37,32.5,505,-0.2047675848,86.4471969604,-3.6205720901
37,32.375,506,,86.4250793457,-3.5392508506
37,32.4375,506,0.149069252,86.503250122,-3.5321764945
37,32.4375,506,-0.3407299757,86.4970397949,-3.5236489772
37,32.5,505,-0.1364896535,86.5193481445,-3.8078653335
37,32.5,505,0.1223057627,86.2358169555,-3.3857164382
37,32.5,506,-0.1223042607,86.6577148437,-3.4745156764
37,32.5,505,0.0817033004,86.5701751708,-3.7565124034
37,32.5,512,-0.0542068529,86.2887496948,-3.527200222
37,32.4375,505,-0.1360995531,86.5158157348,-3.58324337
37,32.3125,507,0.0408468914,86.4621734619,-3.5127909183
37,32.5,505,-0.0544278097,86.5324325561,-3.6827173233
37,32.25,506,0.1363032579,86.3604049682,-3.4823238849
37,32.5625,505,-0.0271889305,86.5632247924,-3.5620234012
37,32.5,505,-0.2038018226,86.4777908325,-3.5561454296
37,32.5,505,-0.0813862609,86.4885711669,-3.6112761497
75,32.4375,505,-0.0680922412,86.4337310791,-3.7173502445
75,32.625,505,-0.0136071264,86.3282775878,-3.3913390636
75,32.5625,505,-0.1361190319,86.6515731811,-3.4154727458
75,32.4375,505,-0.0273076248,86.6300659179,-3.3609623908
75,32.4375,505,-0.1903911209,86.679283142,-3.6375768184
75,32.4375,506,-0.1906067371,86.4030685424,-3.7869284152
75,32.5625,511,-0.0546451282,86.2583236694,-3.379364252
75,32.4375,505,-0.0136185765,86.6662597656,-3.669994831
75,32.625,505,-0.0681689357,86.3750228881,-3.7535762786
75,32.5,505,-0.3125760793,86.2790451049,-3.3881323337
75,32.375,505,,86.6575164794,-3.4761662483
75,32.4375,505,-0.0817420578,86.5685195922,-3.7002589702
75,32.5,505,-0.0543777942,86.3449859619,-3.4683208465
75,32.3125,505,-0.1774044752,86.5727844238,-3.6198709011
75,32.5,505,-0.0546032667,86.4253692626,-3.7852025032
75,32.4375,506,0.2449077606,86.2525100708,-3.4456839561
75,32.375,506,-0.1633334732,86.5960845947,-3.6188557147
75,32.375,505,-0.0271913743,86.4266891479,-3.4201424121
75,32.375,511,-0.0953259372,86.6241760253,-3.610543251
75,32.4375,505,0.0546690511,86.4346847534,-3.6205704212
75,32.4375,510,0.0544084835,86.4246673583,-3.3514409065
75,32.4375,505,-0.094926052,86.6928634643,-3.7996351718
75,32.4375,505,-0.1912087917,86.2411956787,-3.4584636688
