INCLY,INCLZ,INCLX
2.0268044471,83.6631851196,-6.0108060836
2.1140444278,83.6713256835,-6.0600047111
2.1441788673,83.6148147583,-6.1048622131
1.70259943,83.7060699462,-5.8675832748
2.0749287605,83.8195648193,-5.8238439559
1.9882659912,83.8895339965,-6.071917057
1.9751832962,83.6582489013,-5.8660588264
1.9341516494,83.8668289184,-5.8448438644
2.0493738651,83.849571228,-6.0765657424
2.0402936935,83.6332550048,-6.1303119659
1.8589794158,83.6376037597,-5.6203861236
2.397796154,83.9321212768,-6.095896244
1.9246082305,83.6509475708,-5.6882429122
2.0071413516,84.0114746093,-6.25852108
2.0100252628,83.4698181152,-6.0041961669
1.9800559997,83.7211074829,-6.0709719657
1.9976364135,83.6521224975,-6.0526013374
2.0369961261,83.6570358276,-5.8396682739
2.0387423038,83.8579864501,53.7141113281
15.6010484695,31.8647346496,-5.9633870124
2.2294034957,83.676322937,-6.1869301795
2.0181009769,83.5354537963,-5.7156500816
1.9295979499,84.0110168457,-5.8662428855
1.7665933609,83.917388916,-5.9194369316
2.1516795158,83.7446517944,-6.0709648132
2.0749185085,83.6273727416,-6.2290053367
2.1545581817,83.4517593383,-5.8903331756
2.0604805946,83.8029251098,-5.8230319023
2.205953598,83.8160705566,-5.9246878623
1.8672376632,83.8316726684,-5.8306999206
1.8535961151,83.9254684448,-5.9422836303
2.291453123,83.6738891601,-5.7103247642
1.9052138328,84.0238800048,-5.9713892936
1.9872632026,83.7499847412,-5.8186674118
1.9638820648,83.9023361206,-5.911643505
1.9855832099,83.8072128295,-5.9061026573
2.0973074436,83.7757186889,-5.9043545722
1.9379108428,83.8292465209,-5.9559698104
1.9549850463,83.7748260498,-5.9949436187
1.4720938205,83.8713226318,-6.0938696861
2.0460841655,83.6149826049,-6.0791668891
1.8042321205,83.7024536132,-5.8580179214
1.9496518135,83.8695602416,-5.9822101593
2.1272733211,83.693862915,-6.1742153167
1.9226661682,83.5767745971,-5.9965248107
2.1226503849,83.6819229125,-6.1160874366
1.930961132,83.6297683715,-5.9496417045
2.1428656578,83.71925354,-5.7333269119
1.9037424087,84.0025100708,-6.0514831542
2.0636322498,83.6494903564,-5.9499363899
1.9079500198,83.7951812744,-5.9946026802
2.0764255523,83.6991195678,-5.8517537117
2.0517890453,83.8422470092,-5.6931605339
2.1455914974,83.9590988159,-5.9276223182
2.0816321372,83.7606735229,-5.8712058067
2.0125815868,83.8367843627,-5.7456326484
1.9123605728,83.9880905151,-6.0117492675
1.8550967216,83.7521743774,-5.8921923637
2.0787904262,83.7950592041,-6.0333189964
2.0214703083,83.6802978515,-5.7803235054
2.0740246772,83.9021148681,-6.1171383857
1.9083323478,83.6355819702,-6.0159401893
1.8836951255,83.739616394,-5.8735203742
1.9683753013,83.8488769531,-5.8178167343
1.9591556549,83.9046554565,-5.9907360076
1.7534528732,83.8017730712,-6.1912550926
2.0330660343,83.5266571044,-6.0904407501
1.945105648,83.6499023437,-5.9559698104
1.9549850463,83.7748260498,-5.9753170013
1.708269596,83.8292236328,-6.0665168762
2.0369303226,83.6438674926,-6.0440587997
1.7842736244,83.7418365478,-5.4240927696
2.2080812454,84.1868362426,-6.6626377105
1.3834598064,83.239616394,-5.8458909988
1.9365328788,83.885231018,-5.9325432777
2.2604601383,83.6941604614,-5.9097361564
1.9939495086,83.8063278198,-6.0514645576
1.9545712471,83.6841125488,-6.0708193778
2.0383706092,83.6393203735,-6.0310583114
1.8212358474,83.7436523437,-6.1671237945
1.9668284416,83.5701675415,-7.0548996925
1.9862468719,82.7137374877,-6.1288495063
1.9632591247,83.6077346801,-5.845817089
2.158358097,83.8115081787,-6.2965726852
1.5577442646,83.5577316284,-6.0143938064
2.0915241241,83.6754302978,-6.0167045593
1.8745389938,83.7416305541,-5.7351632118
2.1680655479,83.9117965698,-5.9924507141
1.8670074462,83.7670516967,-5.8115301132
2.0296154022,83.8876037597,-5.8743171691
1.9641562461,83.8494720458,-6.0103726387
2.2230496406,83.6344909667,-5.9484086036
2.2425100803,83.685722351,-6.1368789672
1.7619392871,83.6589813232,-5.6666059494
2.0267436504,84.0252609252,-5.9281182289
1.9456859588,83.8042221069,-5.7399420738
1.9787296295,83.9720535278,-5.9743647575
1.9473802566,83.7597122192,-5.9947047233
2.0493061542,83.7079086303,-6.0464096069
1.9349026679,83.6949920654,-6.0620112419
2.0263323783,83.6515274047,-5.9817605018
1.6595739364,83.8363189697,-6.1107578277
2.1875462532,83.552330017,-6.1059260368
1.9413451194,83.6362915039,-6.0389051437
2.0643668174,83.66116333,-5.8573336601
2.2273945808,83.7763290405,-5.6652989387
1.9540491104,84.050743103,-5.8349075317
1.905671215,83.9053726196,-6.0221085548
1.918487358,83.7231826782,-5.9286231994
2.050040245,83.7701950073,-6.1431889533
2.0761296749,83.5585632324,-5.8815331459
1.8982526779,83.8633193969,-5.9914126396
1.9712382316,83.7360305786,-5.7877588272
2.1434876918,83.8711776733,-5.9760789871
2.0794644355,83.7156219482,-5.9363088607
1.8623033523,83.8220748901,-6.0181651115
2.2345044612,83.6231689453,-5.9181160926
1.9967683792,83.7974777221,-6.0583748817
1.9121068954,83.690536499,-5.8413953781
2.0304768085,83.8591003417,-5.9321856498
1.9878789901,83.7869873046,-5.6350002288
2.0760395526,84.0380630493,-5.996119976
2.0497882366,83.706413269,-5.8590164184
2.0591187477,83.8329467773,-5.8629341125
2.1287503242,83.8056716918,-5.8452234268
1.8177947998,83.9224090576,-5.9877800941
1.9562067985,83.7442016601,-5.9546656608
1.854403305,83.8069229125,-6.1605482101
1.8693183898,83.6056365966,-6.3275060653
2.0335063934,83.3968658447,-6.0340619087
1.9673326492,83.6967086791,-6.3008170127
1.8740003585,83.4698867797,-5.5558366775
2.3976125717,83.9915542602,-5.7532482147
1.9964046478,83.9536514282,-6.1086840629
1.8376192092,83.6645355224,-5.8014945983
2.1945290565,83.8403015136,-6.0627622604
1.8863352775,83.694114685,-5.9435477256
1.964380455,83.7836761474,-5.962187767
1.9614992141,83.7668685913,-5.7687864303
1.8836315155,83.9751434326,-5.8475561141
1.8552051544,83.9088973999,-5.9174218177
2.0740127563,83.7728424072,-6.1682462692
1.8539936065,83.6027221679,-5.8344569206
2.1147191524,83.837272644,-5.9551782608
1.9455899238,83.7785186767,-6.0420780181
1.8136010169,83.7353134155,-5.8447442054
2.0764942169,83.8405761718,-5.9067077636
1.7924271583,83.8711166381,-5.959171772
2.1697905063,83.701057434,-6.0461115837
2.0165932178,83.6697235107,-6.1688232421
2.0891749858,83.5300598144,-6.1703424453
2.1668679714,83.5030975341,-5.7409996986
2.0240690708,83.9560317993,-6.0563726425
1.9021818161,83.6954498291,-6.2364668846
2.0294492244,83.4847869873,-6.0007333755
2.1377580165,83.6728668212,-5.7896213531
2.1133713722,83.8798904418,-6.0694437026
2.1660840511,83.5985336303,-5.852604866
1.9069763183,83.8881378173,-6.3324861526
2.2438995838,83.3242874145,-5.4938464164
2.1535418033,84.1423797607,-6.0089941024
2.0269560813,83.7016067504,-5.8921232223
1.824740982,83.8755340576,-5.9124426841
1.8949717521,83.8348922729,-5.9517760276
2.035421133,83.7530746459,-5.9013986587
1.9776887893,83.8194503784,-6.2382864952
2.1121339797,83.4568099975,-6.0094356536
1.9046155929,83.7394943237,-6.2948088645
2.240298748,83.3610229492,-5.878352642
1.8928256988,83.868019104,-5.9514832496
2.2591826915,83.6769027709,-5.8200960159
1.9507159233,83.9052047729,-5.9454760551
2.0558493137,83.7523498535,-5.8491501808
2.0965209007,83.8296508789,-5.9281659126
1.9320899009,83.8084335327,-5.9225549697
2.07102108,83.7689895629,-5.7859477996
1.9893493652,83.9250488281,-5.8803863525
2.2510011196,83.746307373,-5.7574267387
2.0025863647,83.9476623535,-5.8450975418
2.0678520202,83.8431472778,-5.8471450805
2.1724309921,83.8053359985,-6.0046262741
1.8580860137,83.7580871582,-5.795943737
2.2060596942,83.8413772583,-6.1158962249
1.9849784851,83.6133575439,-5.8678827285
2.1937451362,83.7784042358,-5.8600416183
1.75931921,83.9254379272,-5.8909349441
2.2654969692,83.73122406,-6.1013531684
2.0077519416,83.6200561523,-5.8433642387
2.0760056972,83.842048645,-6.1181898117
2.0177693367,83.6008987426,-5.9731402397
1.8925010681,83.7777938842,-5.8242640495
2.1740720272,83.8262100219,-5.8910989761
1.9968657493,83.8230514526,-6.1242184638
2.0833628177,83.5741958618,-5.7238512039
1.927929306,84.0037765502,-5.8507380485
2.0425949096,83.8462600708,-5.972079277
2.1781613826,83.6860427856,-5.9915637969
2.1296594142,83.6842422485,-6.0240559577
2.3541560173,83.574760437,-6.106185913
1.9910450935,83.6207046508,-6.0129885673
